id	name	rawTweet	postTweet	label	mentions	hashtags
0	jstantall	"There is only one question when it comes to abortion, what is it? If it is a human being then it requires a very high level of justification to take it's life. I have simply seen no argument that comes close to proper justification for the taking the life of a innocent human being. The only arguments I have seen are those that try to take away the embryo's humanity and make it less than human.  Roe vs Wade was a very poor decision by the Supreme Court because it introduce a major contradiction in the law. The unjustified taking of a human life is considered murder under current law and we have different degrees to further define it.   Consider the fact that if you kill a woman with child; you will be charged for two counts of homicide. But if a doctor kills only one of those persons; no charge.   The Supreme Court by their ruling overturned the law they were supposed to uphold. The right thing to do would be to overturn this erroneous ruling and restore our rule of law.
"	abortion argument arguments being charge charged child close considered contradiction counts court court current decision define degrees doctor embryo erroneous fact high homicide human human human human humanity innocent introduce it it justification justification kill kills law law law law level life life life major make murder overturn overturned persons poor proper question requires restore roe rule ruling ruling simply supposed supreme supreme taking taking thing unjustified uphold wade woman	1	[]	[]
1	NVYN	"People often try to personalize their pro-life argument by saying ""imagine if YOUR mother had aborted YOU! YOU wouldn't be here!"" Well, to that I say I wouldn't have cared, I wouldn't have had the capacity to care! But people believe in reincarnation might say that I'd be somebody else! Another person! Probably still to the same mother! Who knows.... But if at the time, she really didn't want to have me, then I say it's her choice.
"	aborted argument capacity care cared choice else here imagine knows life me mother mother people people person personalize pro reincarnation time well you	2	[]	[]
2	atypican	"we're saying that the pregnant person should have the option to abort.   Then why is your argument tagged ""abortion should be banned""?  Also funny to note is that (at this time) your post is the top post on this side!?
"	abort abortion argument at banned funny note option person post post pregnant side tagged time top	2	[]	[]
2	atypican	"No answer to my retort, just a down vote. That helps alot!?
"	alot answer helps retort vote	2	[]	[]
3	SMCdeBater	"I'm sooo sick of people like you who feel like they have to be contradicted to know that they're getting the point accross. It is ridiculous and is getting on my nerves.
"	accross contradicted feel nerves people point ridiculous sick sooo	1	[]	[]
1	NVYN	"I've lost everybody in this thread... can we just say that:  - stabbing a dog anywhere is kinda sick and is not ok (unless you eat dogs like in some countries).   - abortion should not be outlawed until week 20 into the pregnancy.  - people who are pro-life should keep their point of view and not force it on others and make them feel like they're murders, cos it's not like killing a person.
"	20 abortion cos countries dog dogs eat feel force killing kinda life lost make murders outlawed people person point pregnancy pro sick stabbing that thread unless view week	2	[]	[]
4	kamranw	"I would just like to add one more thing. Everyone who is for abortion seems to insist this should solely be the woman's decision. Why is that? What about the father? Why should he have no say in a child that he would have to bear legal responsibility to if it were born?  Suppose, a father says he does not want the child and she has it anyway. He is still legally liable to this child. Now, suppose the opposite. He wants the child, is willing to raise this child without any financial support from the mother and is willing to bear all financial burden of the mother while she is unable to work. He should not have this right?
"	abortion add anyway bear bear born burden child child child child child decision father father financial financial insist legal legally liable mother mother now opposite raise responsibility right solely support suppose suppose that thing unable woman work	1	[]	[]
1	NVYN	"The father's decision or the mother's decision? What does it have to do with the fact that it should be banned or not? This is a NON-ARGUMENT.
"	argument banned decision decision fact father mother non not	2	[]	[]
1	NVYN	"When the man has sex with a woman, he knows he is potentially creating a life. He must be prepared to accept whether the woman wants to keep it. It's inside her, not him.   Consider you taking your child over to a neighbour and asks him to babysit the child while you go out for dinner. The neighbour shouldn't have to babysit just because you asked him. He has to look after the child, so he has the choice to do it or not. You are responsible for this child whether he wants to babysit or not.
"	accept asked asks babysit babysit babysit child child child child choice creating dinner her him him inside it life man neighbour neighbour not not potentially prepared responsible sex taking woman woman	2	[]	[]
1	NVYN	"It's a moving story, yes. However the boy is now a life! Before it became a life, it was only a potential life attached to its mother and is completely dependent on her. Only she should have the say in whether it should be kept or not. I am pro-choice, so I say give the women who are considering abortion as much counselling and options and information as you can, but before the fetus can survive outside of her womb it's her choice and society should not make her do anything she doesn't want to do.
"	abortion attached boy can choice choice completely counselling dependent do fetus give her information life life life make mother moving not options potential pro society story survive womb women yes	2	[]	[]
