id	name	rawTweet	postTweet	label	mentions	hashtags
0	ppsabengel	RT @VeraVanHorne: Will @jamala tell that current regime in Kiev prohibited use of her native language as soon as they came to power? https:…	current kiev language native power prohibited regime rt	1	['@VeraVanHorne', '@jamala']	[]
1	xLoveWavex	RT @ESC_JR: I don't get the hate 😥Jamala won fairly and her performance was stunning 😔 she really doesn't deserve this hate 💖🇺🇦 https://t.c…	deserve fairly hate hate performance rt stunning won 💖🇺🇦 😥jamala	2	['@ESC_JR']	[]
2	ApollineDchamp	RT @MarcelHVanHerpe: Don't forget that #Jamala 's 1944 is again actual today...	1944 actual forget jamala rt today	2	['@MarcelHVanHerpe']	['#Jamala']
3	al_masani	@CAROLE_SAMAHA what do you think about Ukrainian Muslim woman's win, Jamala?	jamala muslim ukrainian win woman	2	['@CAROLE_SAMAHA']	[]
4	KeremMusic	RT @Elif_Safak: Wow,this song gives me goosebumps, such powerful lyrics in English&amp;CrimeanTatar (Turkic), congratulations to @Jamala https:…	amp congratulations crimeantatar english goosebumps lyrics powerful rt song this turkic wow	2	['@Elif_Safak', '@Jamala']	[]
5	zelenyychelove	RT @StormBringer15: These words perfectly describe Ukrainian aggression in #Donbas via @AdadjoBajofondo  #Jamala #ESC2016 #Eurovision https…	aggression describe donbas esc2016 eurovision jamala perfectly rt ukrainian words	1	['@StormBringer15', '@AdadjoBajofondo']	['#Donbas', '#Jamala', '#ESC2016', '#Eurovision']
6	hiadrieeele	RT @EBU_HQ: Jamala takes the crown at 61st @Eurovision in #Stockholm #Eurovision #Congratulations #Ukraine Next year in Kyiv! https://t.co/…	61st congratulations crown eurovision jamala kyiv rt stockholm takes ukraine year	2	['@EBU_HQ', '@Eurovision']	['#Stockholm', '#Eurovision', '#Congratulations', '#Ukraine']
8	KyivPost	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	brings contest eurovision gallery jamala photo song ukraine victory	2	[]	['#Jamala', '#Ukraine', '#Eurovision']
9	ambassadorua	Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/1Hy7y9zvo2 https://t.co/3nx77Kswza	brings contest eurovision gallery jamala photo song ukraine victory	2	[]	['#Jamala', '#Ukraine', '#Eurovision']
10	UA_Emb_FI	RT @KyivPost: Photo gallery: #Jamala brings #Ukraine victory in #Eurovision Song Contest https://t.co/jqJXgGkd4R https://t.co/uDq553X2Za	brings contest eurovision gallery jamala photo rt song ukraine victory	2	['@KyivPost']	['#Jamala', '#Ukraine', '#Eurovision']
